,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
30,0.22543296,-1.1355367,-0.804037,-0.5687635,-0.030094344,1.013017,-0.0007501231,-1.3180705,-1.901477,1.0895671,1.0299482,-1.973811,0.19212507,0.48694572,-0.7009959,-1.0152822,-0.7337553,0.83071005,0.0
31,-0.099954806,-0.8620822,-1.0479872,-0.57065654,-0.02800474,1.013365,-0.115752615,-1.3016981,-0.48439434,-0.32106555,1.030302,-0.8081095,0.043220833,0.4871158,-0.56276035,-0.76925343,-0.8324093,0.83099544,0.0
32,-0.2724302,-0.13628408,-0.28285828,-0.5716622,-0.02610355,1.01364,0.857267,-1.2798562,-0.41723642,-5.5609746,1.0305816,-2.3752053,-1.2888699,0.48724514,0.6587386,-1.1149787,-1.4666826,0.83122087,0.0
33,-0.37573573,-0.3861298,-0.39875343,-0.5711357,-0.024414638,1.0139266,0.32753402,-1.8436176,-0.53197,-1.4203725,1.030873,-1.8755572,-15.25678,0.4873801,1.526036,-1.0363839,-1.1844825,0.8314559,0.0
34,-0.44377857,-0.8461148,-0.2492615,-0.5699625,-0.02294291,1.0141313,1.1526865,-1.5729718,-1.3155048,-0.46086097,1.0310811,-1.1327479,-10.58745,0.48748413,2.100526,-1.0148853,-1.2413211,0.83162373,0.0
35,1.0858631,-1.0772538,-0.3118401,-0.5685293,-0.021676144,1.0143243,-3.574419,-1.4041795,-1.0643384,-0.20865238,1.0312774,-0.94643444,-1.732903,0.4875769,0.5991571,-1.0023386,-1.1680592,0.83178204,0.0
36,0.31740966,0.17009476,-1.4138173,-0.5671133,-0.02059355,1.014415,-0.7537787,-1.3150561,0.08034566,1.1412207,1.0313696,0.55202895,9.434558,0.48761767,0.72205645,-0.9940691,-0.7080357,0.83185637,0.0
37,0.011649421,-0.6207704,0.08476842,-0.56570584,-0.019667858,1.0145583,0.46142185,-1.2352601,-0.29758978,4.00668,1.0315152,3.3807192,-11.266695,0.48768514,0.29799414,-0.98413575,-1.4772285,0.8319739,0.0
38,1.4148493,-0.47306326,1.7391435,-0.56438005,-0.018872626,1.0146431,1.0809969,-1.1612942,-0.63245416,3.7739577,1.0316014,1.4210362,-8.2895155,0.48773155,0.12431103,-0.9766153,-1.0185214,0.83204347,0.0
39,0.5551361,-0.5228876,-0.7544652,-0.5631897,-0.018183324,1.0146694,0.5327798,-1.0984443,-1.3889365,0.075120926,1.0316283,-4.9126196,-3.2329655,0.48773998,0.03949144,-0.9702796,-0.967567,0.83206505,0.0
40,0.18349577,-0.2378459,-0.34597668,-0.56210023,-0.017579002,1.01476,2.3484468,-1.0429056,-1.3805857,0.67243516,1.0317204,-3.3486547,-4.881021,0.48778495,-0.23267843,-0.9647307,-0.058142804,0.8321394,0.0
41,-0.018256381,-0.7206574,1.7180425,-0.56115264,-0.017042944,1.0147455,1.2061523,-0.9928657,-0.7475542,-2.1771917,1.0317055,-2.571137,-6.488257,0.48777652,-0.108359985,-0.9594054,-1.2846825,0.8321274,0.0
42,1.419011,-0.14151056,0.2789878,-0.56028885,-0.016561847,1.0147922,0.72219175,-0.94760334,-0.53539443,-2.7095013,1.0317531,-1.8729832,2.7827332,0.48780182,-0.0812237,-0.95440245,-0.343353,0.8321658,0.0
